"filename", "language", "JSON", "JavaScript", "CSS", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\CalendarBody.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\CalendarWeekRow.jsx", "JavaScript JSX", 0, 0, 0, 69, 0, 0, 37, 6, 112
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\CardBody.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\CardContainer.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 3, 3, 18
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\CardDetails.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 5, 55
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\RunCard.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 2, 7, 40
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\SummaryCard.jsx", "JavaScript JSX", 0, 0, 0, 60, 0, 0, 1, 6, 67
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\TrainingCard.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 7, 50
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\WeekDaysBar.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CardElementCloseButton.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CardModal.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 3, 37
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CarouselComponent.jsx", "JavaScript JSX", 0, 0, 0, 74, 0, 0, 2, 9, 85
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CookieNote.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 3, 21
