Date : 2024-11-29 11:56:53
Directory : c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler
Total : 186 files,  17406 codes, 791 comments, 1047 blanks, all 19244 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\TrainingCard.jsx                   | JavaScript JSX |         43 |          0 |          7 |         50 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\WeekDaysBar.jsx                    | JavaScript JSX |         14 |          0 |          4 |         18 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Calendar\index.js                           | JavaScript     |          7 |          0 |          1 |          8 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CardElementCloseButton.jsx                  | JavaScript JSX |         27 |          0 |          2 |         29 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CardModal.jsx                               | JavaScript JSX |         34 |          0 |          3 |         37 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CarouselComponent.jsx                       | JavaScript JSX |         74 |          2 |          9 |         85 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CookieNote.jsx                              | JavaScript JSX |         18 |          0 |          3 |         21 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CreateSchedule\CreateScheduleControls.jsx   | JavaScript JSX |         26 |          0 |          5 |         31 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CreateSchedule\CreateScheduleForm.jsx       | JavaScript JSX |        204 |          0 |          4 |        208 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CreateSchedule\index.js                     | JavaScript     |          3 |          0 |          1 |          4 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ButtonHiddenInput.jsx             | JavaScript JSX |         22 |          0 |          2 |         24 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ButtonSubmit.jsx                  | JavaScript JSX |         12 |          0 |          2 |         14 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ButtonUpload.jsx                  | JavaScript JSX |         13 |          0 |          2 |         15 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\EquipmentCard.jsx                 | JavaScript JSX |         43 |          0 |          3 |         46 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\FormEquipmentStats.jsx            | JavaScript JSX |        106 |          0 |          5 |        111 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ImageContainer.jsx                | JavaScript JSX |         24 |          0 |          3 |         27 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ImagePreviewGroup.jsx             | JavaScript JSX |         12 |          4 |          2 |         18 |
| c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ImageUploader.jsx                 | JavaScript JSX |         26 |          8 |          4 |         38 |
